Clause,WeightType,Modulus,Residue
1,Sequential,1009,0
1,Sequential,100003,0
1,Sequential,1000003,0
1,Polynomial,1009,0
1,Polynomial,100003,0
1,Polynomial,1000003,0
1,Exponential,1009,0
1,Exponential,100003,0
1,Exponential,1000003,0
1,Hash_SHA256(i),1009,0
1,Hash_SHA256(i),100003,0
1,Hash_SHA256(i),1000003,0
2,Sequential,1009,0
2,Sequential,100003,0
2,Sequential,1000003,0
2,Polynomial,1009,0
2,Polynomial,100003,0
2,Polynomial,1000003,0
2,Exponential,1009,0
2,Exponential,100003,0
2,Exponential,1000003,0
2,Hash_SHA256(i),1009,0
2,Hash_SHA256(i),100003,0
2,Hash_SHA256(i),1000003,0
3,Sequential,1009,0
3,Sequential,100003,0
3,Sequential,1000003,0
3,Polynomial,1009,0
3,Polynomial,100003,0
3,Polynomial,1000003,0
3,Exponential,1009,0
3,Exponential,100003,0
3,Exponential,1000003,0
3,Hash_SHA256(i),1009,0
3,Hash_SHA256(i),100003,0
3,Hash_SHA256(i),1000003,0
4,Sequential,1009,0
4,Sequential,100003,0
4,Sequential,1000003,0
4,Polynomial,1009,0
4,Polynomial,100003,0
4,Polynomial,1000003,0
4,Exponential,1009,0
4,Exponential,100003,0
4,Exponential,1000003,0
4,Hash_SHA256(i),1009,0
4,Hash_SHA256(i),100003,0
4,Hash_SHA256(i),1000003,0
5,Sequential,1009,0
5,Sequential,100003,0
5,Sequential,1000003,0
5,Polynomial,1009,0
5,Polynomial,100003,0
5,Polynomial,1000003,0
5,Exponential,1009,0
5,Exponential,100003,0
5,Exponential,1000003,0
5,Hash_SHA256(i),1009,0
5,Hash_SHA256(i),100003,0
5,Hash_SHA256(i),1000003,0
6,Sequential,1009,0
6,Sequential,100003,0
6,Sequential,1000003,0
6,Polynomial,1009,0
6,Polynomial,100003,0
6,Polynomial,1000003,0
6,Exponential,1009,0
6,Exponential,100003,0
6,Exponential,1000003,0
6,Hash_SHA256(i),1009,0
6,Hash_SHA256(i),100003,0
6,Hash_SHA256(i),1000003,0
7,Sequential,1009,0
7,Sequential,100003,0
7,Sequential,1000003,0
7,Polynomial,1009,0
7,Polynomial,100003,0
7,Polynomial,1000003,0
7,Exponential,1009,0
7,Exponential,100003,0
7,Exponential,1000003,0
7,Hash_SHA256(i),1009,0
7,Hash_SHA256(i),100003,0
7,Hash_SHA256(i),1000003,0
8,Sequential,1009,0
8,Sequential,100003,0
8,Sequential,1000003,0
8,Polynomial,1009,0
8,Polynomial,100003,0
8,Polynomial,1000003,0
8,Exponential,1009,0
8,Exponential,100003,0
8,Exponential,1000003,0
8,Hash_SHA256(i),1009,0
8,Hash_SHA256(i),100003,0
